Pl.Kod_Şehir,Erkek,Kadın
1,28.2,25.6
2,28.2,25.3
3,26.7,24.0
4,26.8,22.9
5,28.2,25.7
6,28.7,26.6
7,28.9,26.1
8,30.2,27.4
9,28.4,25.5
10,28.2,25.5
11,28.1,25.3
12,29.4,26.9
13,27.9,24.2
14,28.2,26.1
15,27.2,24.9
16,28.4,25.9
17,29.0,25.9
18,27.2,24.7
19,27.7,25.2
20,28.2,25.4
21,28.0,25.5
22,28.4,25.7
23,28.7,26.7
24,28.5,26.0
25,28.2,25.3
26,28.8,26.5
27,26.7,23.8
28,29.1,26.3
29,28.8,25.9
30,29.2,26.9
31,27.8,24.5
32,27.9,25.5
33,28.3,25.8
34,29.2,26.9
35,29.2,26.7
36,28.3,24.4
37,27.7,25.5
38,27.7,25.2
39,29.0,26.1
40,27.9,25.4
41,28.5,26.0
42,26.7,24.5
43,27.4,25.0
44,28.6,26.5
45,27.7,25.0
46,27.0,24.0
47,27.5,25.1
48,29.4,26.5
49,27.6,23.5
50,27.0,24.4
51,26.7,23.9
52,28.2,25.7
53,29.5,27.0
54,28.2,25.5
55,27.9,25.7
56,27.4,24.4
57,28.3,25.8
58,27.8,25.4
59,28.1,25.4
60,27.7,25.0
61,29.4,27.0
62,32.7,29.0
63,26.2,23.6
64,27.6,25.2
65,27.6,24.6
66,27.1,24.3
67,28.5,26.1
68,26.9,24.2
69,28.4,25.6
70,27.3,24.6
71,27.8,25.0
72,28.2,25.8
73,27.2,24.7
74,28.0,25.7
75,28.4,24.6
76,28.2,24.9
77,29.2,26.3
78,28.3,26.2
79,26.6,23.4
80,27.3,24.9
81,27.9,25.3
